"RANK","COMPANY","CITY","STATE","2019 RANK","WEBSITE","PRIMARY OPERATION","REVENUE","2018 REVENUE","LEASED TRUCKS","OWNED TRUCKS","TOTAL TRUCKS","LEASED TRACTORS","OWNED TRACTORS","TOTAL TRACTORS","LEASED TRAILERS","OWNED TRAILERS","TOTAL TRAILERS","COMPANY DRIVERS","INDEPENDENT CONTRACTORS","TOTAL DRIVERS"
"101","May Trucking Co.","Salem","OR","107","www.maytrucking.com","Refrigerated","219304335","220007719","0","0","0","27","1033","1060","0","2702","2702","1050","24","1074"
"102","A&R Logistics, Inc.","Morris","IL","114","www.ARDoingitRight.com","Tank/Bulk Commodities","","","0","13","13","189","794","983","122","1295","1417","","","908"
"103","PGT Trucking, Inc.","Aliquippa","PA","112","www.pgttrucking.com","Flatbed/Specialized/Heavy Haul","265500000","275900000","0","0","0","1029","0","1029","1531","0","1531","430","455","885"
"104","Carter Express, Inc.","Anderson","IN","111","www.carter-express.com","General Freight","234089943","231289000","0","1","1","41","852","893","564","1166","1730","920","82","1002"
"105","C.A.T. Inc.","Coteau Du Lac","QC","136","www.cat.ca","General Freight","","190000000","0","0","0","622","348","970","1950","793","2743","","","1049"
"106","Premier Transportation","Forest Park","GA","87","www.premiertransportation.com","General Freight","","","0","8","8","240","733","973","0","4337","4337","","","981"
"107","Midwest Logistics Systems LTD","Celina","OH","108","","General Freight","","","0","0","0","939","0","939","3564","0","3564","","","1111"
"108","John Christner Trucking LLC","Sapulpa","OK","113","www.johnchristner.com","Refrigerated","338872976","294783313","0","0","0","797","0","797","1165","0","1165","","","798"
"109","Smith Transport Inc.","Roaring Spring","PA","123","www.smithtransport.com","General Freight","168000000","162000000","0","0","0","0","1005","1005","0","2700","2700","987","0","987"
"110","K.L. Breeden & Sons LLC","Terrell","TX","120","www.klbsons.com","General Freight","","","0","0","0","931","16","947","555","223","778","","","951"
"111","Cassens Transport Co.","Edwardsville","IL","97","www.cassens.com","Motor Vehicles","250788073","292634581","0","0","0","0","950","950","0","950","950","814","0","814"
"112","Paper Transport Inc","De Pere","WI","121","www.papertransport.com","General Freight","222764000","191358000","2","1","3","25","860","885","0","2900","2900","875","25","900"
"113","TransWood Carriers, Inc.","Omaha","NE","130","www.transwood.com","Tank/Bulk Commodities","","","0","0","0","311","652","963","5","1442","1447","","","949"
"114","Dupre' Logistics, LLC","Lafayette","LA","122","www.duprelogistics.com","Tank/Bulk Commodities","297582565","270110571","0","0","0","0","686","686","0","1471","1471","804","93","897"
"115","Venture Logistics, Inc.","Indianapolis","IN","146","www.venlog.com","General Freight","","","0","0","0","125","763","888","608","1353","1961","","","960"
"116","Oak Harbor Freight Lines, Inc.","Auburn","WA","128","www.oakh.com","General Freight","225000000","","0","40","40","0","750","750","0","2300","2300","940","0","940"
"117","J&R Schugel Trucking, Inc.","New Ulm","MN","119","www.jrschugel.com","Refrigerated","","","0","0","0","80","812","892","0","2507","2507","","","871"
"118","Oakley Trucking","North Little Rock","AR","134","www.bruceoakley.com","Tank/Bulk Commodities","208612000","","0","0","0","860","0","860","0","900","900","0","860","860"
"119","Day & Ross Transportation Group","Hartland","NB","143","www.dayrossgroup.com","General Freight","","","27","0","27","761","199","960","987","2385","3372","","","729"
"120","Artur Express, Inc.","Hazelwood","MO","154","www.arturexpress.com","General Freight","172000000","126000000","0","0","0","454","323","777","0","2602","2602","372","581","953"
